rule_key,phrase,author
bahaya_diri,suicide,John (EN Native)
bahaya_diri,kill myself,John (EN Native)
bahaya_diri,end my life,John (EN Native)
bahaya_diri,self-harm,John (EN Native)
bahaya_diri,want to die,John (EN Native)
akun_terkunci,account locked,John (EN Native)
akun_terkunci,hacked,John (EN Native)
akun_terkunci,cannot login,John (EN Native)
akun_terkunci,cant login,John (EN Native)
akun_terkunci,forgot password,John (EN Native)
refund,refund,John (EN Native)
refund,money back,John (EN Native)
refund,chargeback,John (EN Native)
refund,return my money,John (EN Native)
banding_banned,unban,John (EN Native)
banding_banned,ban appeal,John (EN Native)
banding_banned,account banned,John (EN Native)
banding_banned,lift my ban,John (EN Native)
pembelian_anak,bought by my kid,John (EN Native)
pembelian_anak,child purchase,John (EN Native)
pembelian_anak,accidental purchase by child,John (EN Native)
pembelian_anak,minor purchase,John (EN Native)
hukum_media,lawyer,John (EN Native)
hukum_media,police,John (EN Native)
hukum_media,sue you,John (EN Native)
hukum_media,media,John (EN Native)
hukum_media,lawsuit,John (EN Native)
minta_manusia,talk to human,John (EN Native)
minta_manusia,human agent,John (EN Native)
minta_manusia,live person,John (EN Native)
minta_manusia,real person,John (EN Native)
minta_manusia,speak to agent,John (EN Native)
minta_manusia,live representative,John (EN Native)
frustrasi,terrible service,John (EN Native)
frustrasi,you scammers,John (EN Native)
frustrasi,worst game ever,John (EN Native)
no_promise,i promise refund,John (EN Native)
no_promise,guaranteed unban,John (EN Native)
no_promise,i assure your money back,John (EN Native)
