rule_key,phrase,author
bahaya_diri,bunuh diri,Budi (ID Native)
bahaya_diri,akhiri hidup,Budi (ID Native)
bahaya_diri,menyakiti diri,Budi (ID Native)
bahaya_diri,ingin mati,Budi (ID Native)
akun_terkunci,akun terkunci,Budi (ID Native)
akun_terkunci,kena hack,Budi (ID Native)
akun_terkunci,tidak bisa login,Budi (ID Native)
akun_terkunci,lupa password,Budi (ID Native)
akun_terkunci,di-hack,Budi (ID Native)
refund,refund,Budi (ID Native)
refund,kembalikan dana,Budi (ID Native)
refund,minta duit kembali,Budi (ID Native)
refund,tarik saldo,Budi (ID Native)
banding_banned,banding ban,Budi (ID Native)
banding_banned,unban,Budi (ID Native)
banding_banned,buka blokir,Budi (ID Native)
banding_banned,akun diblokir,Budi (ID Native)
pembelian_anak,anak saya beli,Budi (ID Native)
pembelian_anak,dibeli adik tanpa izin,Budi (ID Native)
pembelian_anak,anak kecil tidak sengaja beli,Budi (ID Native)
hukum_media,lapor polisi,Budi (ID Native)
hukum_media,somasi,Budi (ID Native)
hukum_media,pengacara,Budi (ID Native)
hukum_media,viralkan ke media,Budi (ID Native)
hukum_media,viral di medsos,Budi (ID Native)
minta_manusia,bicara dengan orang,Budi (ID Native)
minta_manusia,mau bicara dengan manusia,Budi (ID Native)
minta_manusia,hubungkan ke agen,Budi (ID Native)
minta_manusia,panggil cs asli,Budi (ID Native)
minta_manusia,panggil cs,Budi (ID Native)
minta_manusia,hubungkan dengan cs manusia,Budi (ID Native)
minta_manusia,hubungkan ke cs manusia,Budi (ID Native)
minta_manusia,hubungkan dengan cs,Budi (ID Native)
minta_manusia,hubungkan ke cs,Budi (ID Native)
minta_manusia,bicara dengan cs,Budi (ID Native)
minta_manusia,cs manusia,Budi (ID Native)
minta_manusia,jangan bot saya mau orang,Budi (ID Native)
minta_manusia,live agent,Budi (ID Native)
minta_manusia,agen manusia,Budi (ID Native)
frustrasi,pelayanan buruk sekali,Budi (ID Native)
frustrasi,game sampah,Budi (ID Native)
frustrasi,penipu kalian,Budi (ID Native)
no_promise,kami jamin uang kembali,Budi (ID Native)
no_promise,pasti kami unban,Budi (ID Native)
no_promise,saya pastikan dana kembali,Budi (ID Native)
