rule_key,phrase,author
bahaya_diri,bunuh diri,Siti (MY Native)
bahaya_diri,cederakan diri,Siti (MY Native)
bahaya_diri,nak mati,Siti (MY Native)
bahaya_diri,tamatkan riwayat,Siti (MY Native)
akun_terkunci,akaun dikunci,Siti (MY Native)
akun_terkunci,kena godam,Siti (MY Native)
akun_terkunci,tidak boleh log masuk,Siti (MY Native)
akun_terkunci,lupa kata laluan,Siti (MY Native)
refund,bayaran balik,Siti (MY Native)
refund,pulangkan wang,Siti (MY Native)
refund,refund,Siti (MY Native)
refund,minta duit balik,Siti (MY Native)
banding_banned,batal sekatan,Siti (MY Native)
banding_banned,rayuan sekatan,Siti (MY Native)
banding_banned,akaun kena sekat,Siti (MY Native)
pembelian_anak,anak beli tanpa izin,Siti (MY Native)
pembelian_anak,dibeli oleh anak kecil,Siti (MY Native)
pembelian_anak,anak tak sengaja tekan,Siti (MY Native)
hukum_media,lapor polis,Siti (MY Native)
hukum_media,peguam,Siti (MY Native)
hukum_media,mahkamah,Siti (MY Native)
hukum_media,viral di media,Siti (MY Native)
minta_manusia,bercakap dengan manusia,Siti (MY Native)
minta_manusia,sambungkan ke ejen,Siti (MY Native)
minta_manusia,nak cakap dengan orang,Siti (MY Native)
minta_manusia,ejen sebenar,Siti (MY Native)
minta_manusia,tak nak bot,Siti (MY Native)
frustrasi,penipu kamu semua,Siti (MY Native)
frustrasi,servis teruk gila,Siti (MY Native)
frustrasi,game teruk,Siti (MY Native)
no_promise,kami jamin bayaran balik,Siti (MY Native)
no_promise,pasti akan buka sekatan,Siti (MY Native)
